last_update,station,city,state,latitude,longitude,aqi,pm25,pm10,no2,so2,co,o3,nh3,timestamp
2026-09-01 23:00:00,"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,28.725645,77.749675,421,87.04,88.01,7.41,14.86,36.44,15.5,10.29,2026-09-02 09:51:08
2026-09-01 23:00:00,"Sadanand Nagar, Mehsana - Nexteng Enviro",Mehsana,Gujarat,23.59315,72.372792,447,26.63,49.66,3.82,13.61,37.91,9.56,0.0,2026-09-02 09:51:13
2026-09-01 23:00:00,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,21.258815,81.578979,316,25.31,43.33,0.99,4.21,18.8,,2.19,2026-09-02 09:51:18
2026-09-01 23:00:00,"AIIMS, Raipur - CECB",Raipur,Chhattisgarh,21.258815,81.578979,315,25.82,47.01,0.99,4.35,17.73,,2.19,2026-09-02 09:51:23
2026-09-01 23:00:00,"Chauhan Colony, Chandrapur - MPCB",Chandrapur,Maharashtra,19.9629,79.298714,375,45.94,74.46,16.03,12.21,30.17,4.29,0.99,2026-09-02 09:51:28
2026-09-01 23:00:00,"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh,22.118125,83.140608,315,33.59,31.75,11.21,21.7,20.35,39.59,1.83,2026-09-02 09:51:33
2026-09-01 23:00:00,"Gole Bazar, Katni - MPPCB",Katni,Madhya Pradesh,23.50016,80.23284,408,35.87,58.0,12.54,23.87,35.1,15.4,2.06,2026-09-02 09:51:38
2026-09-01 23:00:00,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,25.3505986,82.9083074,253,25.12,36.76,22.33,5.88,14.12,11.87,,2026-09-02 09:51:44
2026-09-01 23:00:00,"Mahashweta Nagar, Ujjain - MPPCB",Ujjain,Madhya Pradesh,23.1633321,75.800225,500,45.72,54.8,12.43,6.57,61.96,54.56,9.63,2026-09-02 09:51:49
2026-09-01 23:00:00,"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,Madhya Pradesh,23.10844,77.511428,340,60.66,93.0,16.1,5.2,21.64,24.65,3.77,2026-09-02 09:51:54
2026-09-01 23:00:00,"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,26.766433,80.927299,340,8.43,21.97,12.26,30.28,25.49,10.58,3.07,2026-09-02 09:51:59
2026-09-01 23:00:00,"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,Karnataka,12.920984,77.584908,297,27.8,39.81,13.63,3.19,17.11,30.58,0.0,2026-09-02 09:52:04
2026-09-01 23:00:00,"Hardev Nagar, Bathinda - PPCB",Bathinda,Punjab,30.233011,74.907758,323,37.18,60.59,29.33,14.73,23.1,,,2026-09-02 09:52:09
